Force,Displacement,Velocity
0.51135,-12.32656,0.04183
0.52344,-12.32656,0.06624
0.53553,-12.32656,0.08089
0.5452,-12.32656,0.09066
0.55488,-12.32656,0.10042
0.56455,-12.32656,0.11019
0.57422,-12.32656,0.12484
0.58389,-12.27773,0.13948
0.60565,-12.27773,0.14925
0.62983,-12.27773,0.14437
0.65643,-12.22891,0.1346
0.67336,-12.27773,0.15902
0.67819,-12.22891,0.21761
0.67336,-12.22891,0.30062
0.6661,-12.22891,0.35433
0.65885,-12.18008,0.37874
0.65401,-12.13125,0.38363
0.65643,-12.13125,0.38851
0.66127,-12.08242,0.39827
0.66127,-12.08242,0.39827
0.66127,-12.03359,0.39827
0.66127,-12.03359,0.39827
0.66368,-12.03359,0.40316
0.66368,-11.98477,0.42269
0.6661,-11.93594,0.45198
0.66852,-11.93594,0.48128
0.67094,-11.88711,0.52034
0.67577,-11.83828,0.54964
0.68061,-11.83828,0.56917
0.68303,-11.78945,0.57894
0.68303,-11.74063,0.57894
0.68545,-11.6918,0.56917
0.69028,-11.6918,0.56917
0.6927,-11.64297,0.57405
0.69512,-11.59414,0.5887
0.69995,-11.54531,0.60823
0.70237,-11.49648,0.64241
0.70963,-11.49648,0.68636
0.71204,-11.44766,0.72054
0.71688,-11.39883,0.74495
0.7193,-11.35,0.7596
0.72413,-11.30117,0.77425
0.72655,-11.25234,0.78402
0.73139,-11.20352,0.79378
0.73622,-11.15469,0.79866
0.73864,-11.10586,0.7889
0.74106,-11.05703,0.77913
0.7459,-11.0082,0.7889
0.75073,-10.95938,0.8182
0.75557,-10.91055,0.85237
0.7604,-10.81289,0.88167
0.76524,-10.81289,0.89632
0.77249,-10.76406,0.91585
0.77491,-10.66641,0.9305
0.78216,-10.61758,0.95003
0.78458,-10.56875,0.96468
0.78942,-10.47109,0.96956
0.79184,-10.42227,0.96468
0.79667,-10.37344,0.9598
0.80151,-10.32461,0.96468
0.80634,-10.27578,0.98421
0.81118,-10.17813,1.01351
0.81602,-10.08047,1.04769
0.82085,-10.03164,1.07698
0.82569,-9.98281,1.09652
0.82811,-9.88516,1.1014
0.83294,-9.83633,1.11116
