Force,Displacement,Velocity
1123.1,0.00193125,-1.92595
1115.84,0.00178477,-1.93083
1108.59,0.00168711,-1.92595
1098.92,0.00154063,-1.92595
1089.25,0.00144297,-1.93083
1079.57,0.00134531,-1.93571
1069.9,0.00119883,-1.93083
1062.65,0.00110117,-1.92106
1055.4,0.00100352,-1.9113
1048.14,0.00085703,-1.92106
1038.47,0.00075938,-1.93571
1031.22,0.00066172,-1.94548
1023.96,0.00056406,-1.95524
1016.71,0.00041758,-1.96012
1007.04,0.00031992,-1.96012
999.78,0.00017344,-1.96501
990.11,0.00007578,-1.96501
982.86,-0.0000707,-1.96501
975.6,-0.00016836,-1.96012
968.35,-0.00026602,-1.95036
961.09,-0.0004125,-1.94059
951.42,-0.00055898,-1.94059
944.17,-0.00065664,-1.94059
934.5,-0.0007543,-1.94548
924.82,-0.00085195,-1.95524
919.99,-0.00094961,-1.95036
912.73,-0.00109609,-1.94548
905.48,-0.00119375,-1.94548
898.23,-0.00129141,-1.94059
890.97,-0.00143789,-1.94059
883.72,-0.00158437,-1.93083
876.47,-0.00168203,-1.92106
871.63,-0.00177969,-1.92106
861.96,-0.00192617,-1.92595
852.29,-0.00202383,-1.93571
845.03,-0.00217031,-1.93083
840.2,-0.00226797,-1.91618
832.94,-0.00236562,-1.90641
828.11,-0.00251211,-1.9113
820.85,-0.00260977,-1.91618
816.02,-0.00270742,-1.9113
808.76,-0.00280508,-1.90641
803.93,-0.00295156,-1.90641
796.67,-0.00304922,-1.9113
789.42,-0.00314687,-1.92106
782.16,-0.00329336,-1.91618
777.33,-0.00339102,-1.90153
772.49,-0.00348867,-1.88688
767.66,-0.00363516,-1.88688
760.4,-0.00373281,-1.882
755.57,-0.00383047,-1.87712
748.31,-0.00397695,-1.86247
743.48,-0.00407461,-1.8527
736.22,-0.00417227,-1.8527
728.97,-0.00426992,-1.85759
721.72,-0.00436758,-1.8527
716.88,-0.00446523,-1.83805
712.04,-0.00456289,-1.81852
709.63,-0.00466055,-1.80387
704.79,-0.0047582,-1.79899
699.95,-0.00490469,-1.78923
695.12,-0.00500234,-1.77946
690.28,-0.0051,-1.7697
680.61,-0.00519766,-1.75993
675.77,-0.00529531,-1.75016
670.94,-0.0054418,-1.73063
666.1,-0.00553945,-1.71598
661.27,-0.00563711,-1.70622
656.43,-0.00573477,-1.69645
651.59,-0.00583242,-1.68669
646.76,-0.00593008,-1.67204
644.34,-0.00602773,-1.66716
637.09,-0.00612539,-1.67204
632.25,-0.00622305,-1.67204
627.41,-0.00636953,-1.66716
622.58,-0.00641836,-1.66227
617.74,-0.00656484,-1.65251
612.91,-0.00661367,-1.65251
610.49,-0.00671133,-1.64274
605.65,-0.00680898,-1.62809
603.23,-0.00690664,-1.60368
598.4,-0.0070043,-1.58903
591.15,-0.00710195,-1.57438
586.31,-0.00719961,-1.56462
583.89,-0.00729727,-1.54997
579.06,-0.00739492,-1.52555
574.22,-0.00744375,-1.50602
569.38,-0.00754141,-1.49626
564.55,-0.00763906,-1.48161
562.13,-0.00773672,-1.46696
559.71,-0.00783437,-1.44743
557.29,-0.00793203,-1.43766
552.46,-0.00802969,-1.43766
547.62,-0.00812734,-1.44255
542.79,-0.00817617,-1.44255
537.95,-0.00827383,-1.43278
535.53,-0.00837148,-1.4279
528.28,-0.00846914,-1.4279
521.02,-0.00851797,-1.43278
513.77,-0.00861563,-1.41813
511.35,-0.00866445,-1.39372
504.1,-0.00876211,-1.36442
499.26,-0.00881094,-1.34489
489.59,-0.00890859,-1.32536
484.75,-0.00900625,-1.30095
482.34,-0.00905508,-1.26677
479.92,-0.00915273,-1.23747
475.08,-0.00925039,-1.22282
467.83,-0.00929922,-1.22282
462.99,-0.00939688,-1.21794
460.57,-0.0094457,-1.20817
458.16,-0.00954336,-1.19352
455.74,-0.00959219,-1.19352
450.9,-0.00968984,-1.19352
446.07,-0.00973867,-1.19352
443.65,-0.0097875,-1.17887
438.81,-0.00988516,-1.15446
433.98,-0.00993398,-1.13981
431.56,-0.00998281,-1.13005
429.14,-0.01008047,-1.10563
426.72,-0.0101293,-1.07634
424.31,-0.01022695,-1.04704
421.89,-0.01027578,-1.02262
421.89,-0.01037344,-1.01286
419.47,-0.01042227,-1.00309
419.47,-0.01047109,-0.99333
419.47,-0.01051992,-0.98356
417.05,-0.01061758,-0.98845
414.63,-0.01066641,-0.99333
412.22,-0.01071523,-0.99333
412.22,-0.01076406,-0.98356
414.63,-0.01081289,-0.96403
412.22,-0.01086172,-0.93962
409.8,-0.01091055,-0.91032
409.8,-0.01095938,-0.87614
412.22,-0.01105703,-0.83708
412.22,-0.01110586,-0.79802
412.22,-0.01115469,-0.7736
409.8,-0.01120352,-0.76384
409.8,-0.01125234,-0.76384
412.22,-0.01130117,-0.76384
414.63,-0.01135,-0.76384
417.05,-0.01139883,-0.76384
417.05,-0.01139883,-0.76384
414.63,-0.01144766,-0.75407
417.05,-0.01149648,-0.72966
419.47,-0.01154531,-0.69548
419.47,-0.01159414,-0.65641
419.47,-0.01159414,-0.632
419.47,-0.01164297,-0.60759
424.31,-0.0116918,-0.58805
426.72,-0.01174063,-0.56852
426.72,-0.01178945,-0.55388
429.14,-0.01178945,-0.55388
431.56,-0.01183828,-0.55388
433.98,-0.01188711,-0.54899
433.98,-0.01188711,-0.54411
436.4,-0.01193594,-0.53923
436.4,-0.01193594,-0.51481
441.23,-0.01198477,-0.4904
441.23,-0.01198477,-0.45622
441.23,-0.01203359,-0.41716
443.65,-0.01203359,-0.38786
446.07,-0.01208242,-0.35856
448.48,-0.01208242,-0.32927
453.32,-0.01213125,-0.3195
453.32,-0.01218008,-0.31462
455.74,-0.01218008,-0.3195
455.74,-0.01218008,-0.31462
458.16,-0.01222891,-0.30485
460.57,-0.01222891,-0.2902
462.99,-0.01222891,-0.27067
462.99,-0.01222891,-0.25114
462.99,-0.01227773,-0.22673
465.41,-0.01227773,-0.19743
467.83,-0.01227773,-0.16813
472.66,-0.01227773,-0.13395
472.66,-0.01227773,-0.10954
475.08,-0.01232656,-0.09977
475.08,-0.01232656,-0.09489
477.5,-0.01232656,-0.09977
482.34,-0.01232656,-0.09977
484.75,-0.01232656,-0.09977
487.17,-0.01232656,-0.09489
489.59,-0.01232656,-0.08024
489.59,-0.01232656,-0.05095
494.43,-0.01232656,-0.02165
501.68,-0.01232656,0.01253
511.35,-0.01232656,0.04183
523.44,-0.01232656,0.06624
535.53,-0.01232656,0.08089
545.2,-0.01232656,0.09066
554.88,-0.01232656,0.10042
564.55,-0.01232656,0.11019
574.22,-0.01232656,0.12484
583.89,-0.01227773,0.13948
605.65,-0.01227773,0.14925
629.83,-0.01227773,0.14437
656.43,-0.01222891,0.1346
673.36,-0.01227773,0.15902
678.19,-0.01222891,0.21761
673.36,-0.01222891,0.30062
666.1,-0.01222891,0.35433
658.85,-0.01218008,0.37874
654.01,-0.01213125,0.38363
656.43,-0.01213125,0.38851
661.27,-0.01208242,0.39827
661.27,-0.01208242,0.39827
661.27,-0.01203359,0.39827
661.27,-0.01203359,0.39827
663.68,-0.01203359,0.40316
663.68,-0.01198477,0.42269
666.1,-0.01193594,0.45198
668.52,-0.01193594,0.48128
670.94,-0.01188711,0.52034
675.77,-0.01183828,0.54964
680.61,-0.01183828,0.56917
683.03,-0.01178945,0.57894
683.03,-0.01174063,0.57894
685.45,-0.0116918,0.56917
690.28,-0.0116918,0.56917
692.7,-0.01164297,0.57405
695.12,-0.01159414,0.5887
699.95,-0.01154531,0.60823
702.37,-0.01149648,0.64241
709.63,-0.01149648,0.68636
712.04,-0.01144766,0.72054
716.88,-0.01139883,0.74495
719.3,-0.01135,0.7596
724.13,-0.01130117,0.77425
726.55,-0.01125234,0.78402
731.39,-0.01120352,0.79378
736.22,-0.01115469,0.79866
738.64,-0.01110586,0.7889
741.06,-0.01105703,0.77913
745.9,-0.0110082,0.7889
750.73,-0.01095938,0.8182
755.57,-0.01091055,0.85237
760.4,-0.01081289,0.88167
765.24,-0.01081289,0.89632
772.49,-0.01076406,0.91585
774.91,-0.01066641,0.9305
782.16,-0.01061758,0.95003
784.58,-0.01056875,0.96468
789.42,-0.01047109,0.96956
791.84,-0.01042227,0.96468
796.67,-0.01037344,0.9598
801.51,-0.01032461,0.96468
806.34,-0.01027578,0.98421
811.18,-0.01017813,1.01351
816.02,-0.01008047,1.04769
820.85,-0.01003164,1.07698
825.69,-0.00998281,1.09652
828.11,-0.00988516,1.1014
832.94,-0.00983633,1.11116
837.78,-0.00973867,1.12093
842.61,-0.00968984,1.12581
847.45,-0.00964102,1.12093
852.29,-0.00959219,1.12581
857.12,-0.00949453,1.15023
864.38,-0.00939688,1.17952
869.21,-0.00934805,1.20882
874.05,-0.00929922,1.21859
881.3,-0.00920156,1.21859
886.14,-0.00910391,1.2137
890.97,-0.00905508,1.22347
895.81,-0.00895742,1.24788
900.65,-0.00890859,1.2723
907.9,-0.00881094,1.28695
915.15,-0.00876211,1.29671
919.99,-0.00866445,1.29671
924.82,-0.00861563,1.29183
929.66,-0.00851797,1.29183
936.91,-0.00842031,1.29671
941.75,-0.00832266,1.30159
949,-0.00827383,1.31136
953.84,-0.00817617,1.32113
958.68,-0.00807852,1.33577
963.51,-0.00802969,1.3553
970.77,-0.00793203,1.36507
978.02,-0.00783437,1.37972
982.86,-0.00773672,1.39437
990.11,-0.00763906,1.40902
994.95,-0.00754141,1.41878
1002.2,-0.00749258,1.43343
1009.45,-0.00739492,1.44808
1016.71,-0.00734609,1.44808
1021.54,-0.00719961,1.4432
1023.96,-0.00715078,1.43343
1031.22,-0.00705312,1.43831
1038.47,-0.00695547,1.45784
1045.72,-0.00685781,1.48714
1052.98,-0.00676016,1.51155
1060.23,-0.0066625,1.52132
1065.07,-0.00661367,1.5262
1069.9,-0.00651602,1.53109
1077.16,-0.00641836,1.54085
1084.41,-0.0063207,1.55062
1091.66,-0.00622305,1.55062
1098.92,-0.00617422,1.55062
1103.75,-0.00602773,1.54085
1111.01,-0.00593008,1.53109
1118.26,-0.00588125,1.53597
1125.52,-0.00578359,1.54573
1130.35,-0.00563711,1.5555
1137.61,-0.00553945,1.56527
1144.86,-0.00549062,1.57991
1149.7,-0.00534414,1.59945
1159.37,-0.00524648,1.61898
1164.2,-0.00514883,1.63363
1171.46,-0.00505117,1.62386
1178.71,-0.00495352,1.61409
1185.97,-0.00485586,1.60433
1193.22,-0.0047582,1.60433
1200.47,-0.00466055,1.61409
1207.73,-0.00456289,1.62386
1214.98,-0.00446523,1.63851
1222.23,-0.00436758,1.65316
1227.07,-0.00426992,1.66292
1234.32,-0.00417227,1.67269
1241.58,-0.00407461,1.67757
1251.25,-0.00397695,1.69222
1258.5,-0.0038793,1.70198
1265.76,-0.00373281,1.70687
1270.59,-0.00363516,1.69222
1277.85,-0.0035375,1.67757
1285.1,-0.00339102,1.67269
1292.36,-0.00329336,1.67757
1302.03,-0.00324453,1.6971
1306.86,-0.00309805,1.71663
1314.12,-0.00300039,1.7264
1321.37,-0.00290273,1.73128
1331.04,-0.00280508,1.73128
1338.3,-0.00270742,1.73128
1345.55,-0.00260977,1.7264
1350.39,-0.00251211,1.71175
1357.64,-0.00236562,1.6971
1364.89,-0.00226797,1.69222
1374.57,-0.00217031,1.71175
1381.82,-0.00202383,1.73616
1386.66,-0.00192617,1.75081
1396.33,-0.00182852,1.74593
1403.58,-0.00173086,1.74105
1410.84,-0.0016332,1.74105
1420.51,-0.00153555,1.74593
1427.76,-0.00138906,1.7557
1435.02,-0.00129141,1.7557
1439.85,-0.00119375,1.75081
1447.11,-0.00109609,1.74593
1454.36,-0.00099844,1.74593
