Force,Displacement,Velocity
211.52,0.01257578,0.42757
204.27,0.01262461,0.31527
197.02,0.01262461,0.22738
189.76,0.01262461,0.15902
177.67,0.01262461,0.1053
165.58,0.01262461,0.05159
143.82,0.01262461,-0.007
114.81,0.01262461,-0.06559
73.7,0.01262461,-0.13395
35.01,0.01257578,-0.21208
6,0.01257578,-0.30485
-15.77,0.01257578,-0.40739
-27.86,0.01252695,-0.50016
-35.11,0.01247812,-0.59294
-47.2,0.01247812,-0.69059
-61.71,0.0124293,-0.79802
-76.21,0.01238047,-0.91032
-93.14,0.01233164,-1.00309
-105.23,0.01223398,-1.0861
-117.32,0.01218516,-1.15446
-129.41,0.0120875,-1.22282
-146.34,0.01198984,-1.30583
-165.68,0.01189219,-1.3986
-187.44,0.01184336,-1.50114
-206.78,0.0117457,-1.59391
-221.29,0.01164805,-1.67692
-235.8,0.01150156,-1.74528
-250.31,0.01140391,-1.80387
-269.65,0.01130625,-1.86735
-289,0.01120859,-1.93571
-305.92,0.01106211,-2.00895
-327.68,0.01096445,-2.0822
-351.86,0.01081797,-2.15544
-376.04,0.01067148,-2.2238
-397.8,0.010525,-2.28727
-421.98,0.01042734,-2.35563
-446.16,0.01023203,-2.42887
-470.34,0.01013437,-2.51188
-492.11,0.00998789,-2.59001
-511.45,0.00979258,-2.65348
-530.79,0.00964609,-2.70231
-552.55,0.00949961,-2.76091
-579.15,0.0093043,-2.82927
-605.75,0.00915781,-2.88786
-627.51,0.0089625,-2.92204
-649.27,0.00881602,-2.9318
-675.87,0.0086207,-2.95622
-707.3,0.00842539,-3.02458
-741.16,0.00823008,-3.10759
-775.01,0.00803477,-3.18083
-808.86,0.00783945,-3.25407
-842.71,0.00764414,-3.34196
-883.82,0.00744883,-3.42009
-920.09,0.00725352,-3.45915
-956.35,0.0070582,-3.47868
-992.62,0.00686289,-3.50309
-1031.31,0.00661875,-3.54216
-1067.58,0.00642344,-3.57634
-1101.43,0.00622813,-3.59587
-1137.7,0.00598398,-3.62028
-1171.55,0.00578867,-3.67399
-1205.41,0.00554453,-3.73747
-1241.68,0.00530039,-3.79118
-1275.53,0.00510508,-3.82536
-1304.54,0.00486094,-3.85466
-1338.39,0.00466563,-3.8693
-1369.83,0.00442148,-3.87907
-1398.84,0.00417734,-3.89372
-1427.86,0.0039332,-3.91325
-1454.46,0.00368906,-3.94255
-1481.05,0.00344492,-3.96696
-1505.23,0.00320078,-3.98649
-1529.41,0.00295664,-4.00602
-1551.18,0.0027125,-4.03532
-1572.94,0.00246836,-4.05485
-1589.86,0.00222422,-4.0695
-1606.79,0.00202891,-4.0988
-1623.71,0.00173594,-4.11833
-1638.22,0.0014918,-4.11345
-1652.73,0.00124766,-4.08415
-1667.24,0.00105234,-4.06462
-1676.91,0.0008082,-4.05485
-1691.42,0.00056406,-4.06462
-1701.09,0.00027109,-4.07927
-1708.34,0.00002695,-4.09391
-1708.34,-0.00021719,-4.11833
-1708.34,-0.00046133,-4.13298
-1708.34,-0.00070547,-4.12809
-1708.34,-0.00094961,-4.10368
-1708.34,-0.00114492,-4.05973
-1701.09,-0.00143789,-4.01579
-1701.09,-0.00168203,-3.98649
-1696.25,-0.00192617,-3.97673
-1693.84,-0.00217031,-3.99137
-1686.58,-0.00241445,-4.00602
-1674.49,-0.00265859,-4.00602
-1659.98,-0.00290273,-4.00114
-1645.48,-0.00314687,-3.99137
-1633.39,-0.00339102,-3.98161
-1614.04,-0.00363516,-3.93278
-1597.12,-0.0038793,-3.87419
-1577.77,-0.00407461,-3.81559
