Force,Displacement,Velocity
300.99,-0.00290273,1.82894
303.41,-0.00280508,1.84359
303.41,-0.00270742,1.84847
303.41,-0.00256094,1.8387
300.99,-0.00246328,1.82405
303.41,-0.0023168,1.81429
305.82,-0.00221914,1.82405
305.82,-0.00212148,1.84847
305.82,-0.001975,1.86312
303.41,-0.00187734,1.868
305.82,-0.00177969,1.86312
305.82,-0.00168203,1.87288
308.24,-0.00153555,1.8973
308.24,-0.00143789,1.90706
308.24,-0.00129141,1.89241
305.82,-0.00119375,1.86312
305.82,-0.00109609,1.84359
305.82,-0.00099844,1.8387
308.24,-0.00085195,1.84359
308.24,-0.0007543,1.85335
308.24,-0.00065664,1.86312
308.24,-0.00051016,1.87288
308.24,-0.00036367,1.88753
310.66,-0.00026602,1.91683
313.08,-0.00016836,1.93148
313.08,-0.0000707,1.93148
313.08,0.00007578,1.91195
310.66,0.00017344,1.88265
310.66,0.00027109,1.86312
313.08,0.00041758,1.85823
313.08,0.00051523,1.86312
313.08,0.00066172,1.868
313.08,0.00075938,1.86312
315.5,0.00085703,1.85823
315.5,0.00095469,1.87288
315.5,0.00110117,1.89241
317.91,0.00119883,1.90706
317.91,0.00129648,1.8973
315.5,0.00139414,1.87777
315.5,0.0014918,1.868
315.5,0.00163828,1.87288
317.91,0.00173594,1.87777
317.91,0.00183359,1.868
315.5,0.00198008,1.86312
315.5,0.00207773,1.85335
315.5,0.00217539,1.85335
317.91,0.00232188,1.86312
317.91,0.00241953,1.87288
315.5,0.00251719,1.87777
315.5,0.00266367,1.86312
313.08,0.00276133,1.84847
315.5,0.00290781,1.84359
315.5,0.00300547,1.85335
315.5,0.00310313,1.85823
315.5,0.00320078,1.8387
315.5,0.00329844,1.81429
315.5,0.00339609,1.80452
313.08,0.00354258,1.81429
315.5,0.00364023,1.82894
315.5,0.00378672,1.83382
313.08,0.00383555,1.82405
313.08,0.00398203,1.80941
313.08,0.00412852,1.79476
313.08,0.00422617,1.78499
313.08,0.004275,1.78011
313.08,0.00442148,1.77523
310.66,0.00451914,1.76058
310.66,0.0046168,1.74593
310.66,0.00476328,1.74593
310.66,0.00486094,1.76058
310.66,0.00495859,1.77523
310.66,0.00505625,1.77523
310.66,0.00520273,1.76546
308.24,0.00525156,1.7557
308.24,0.00539805,1.75081
308.24,0.0054957,1.74593
308.24,0.00559336,1.74105
308.24,0.00569102,1.71663
305.82,0.00578867,1.69222
305.82,0.00588633,1.6678
305.82,0.00603281,1.65316
305.82,0.00613047,1.65316
305.82,0.00622813,1.65804
303.41,0.00632578,1.65804
303.41,0.00642344,1.65316
303.41,0.00652109,1.64339
303.41,0.00661875,1.63851
303.41,0.00671641,1.64339
300.99,0.00681406,1.63363
300.99,0.00691172,1.61898
300.99,0.00700938,1.59456
298.57,0.00710703,1.57503
300.99,0.00720469,1.57015
300.99,0.00730234,1.56527
298.57,0.0074,1.55062
298.57,0.00749766,1.53597
296.15,0.00759531,1.52132
296.15,0.00769297,1.51644
296.15,0.00779063,1.51155
296.15,0.00783945,1.50179
293.73,0.00793711,1.49202
293.73,0.00803477,1.47738
293.73,0.00813242,1.46761
293.73,0.00823008,1.46761
291.32,0.00827891,1.45784
291.32,0.00837656,1.4432
288.9,0.00847422,1.42366
291.32,0.00857187,1.40902
291.32,0.00866953,1.39925
288.9,0.00871836,1.39925
286.48,0.00881602,1.3846
286.48,0.00891367,1.36995
286.48,0.00901133,1.35042
286.48,0.00906016,1.34066
286.48,0.00915781,1.34554
284.06,0.00925547,1.34066
284.06,0.0093043,1.32113
281.65,0.00935312,1.28695
281.65,0.00945078,1.26741
281.65,0.00954844,1.26253
281.65,0.00959727,1.26253
281.65,0.00969492,1.25277
279.23,0.00974375,1.22835
276.81,0.00984141,1.19905
276.81,0.00993906,1.18441
276.81,0.00998789,1.18441
276.81,0.01003672,1.18929
274.39,0.01008555,1.17952
274.39,0.0101832,1.15023
271.97,0.01028086,1.11605
271.97,0.01032969,1.10628
271.97,0.01037852,1.10628
271.97,0.01047617,1.10628
269.56,0.010525,1.08187
269.56,0.01057383,1.04769
267.14,0.01067148,1.01839
267.14,0.01072031,1.01839
267.14,0.01076914,1.02327
267.14,0.01081797,1.01839
264.72,0.0108668,0.99886
262.3,0.01096445,0.96956
259.88,0.01101328,0.95003
262.3,0.01106211,0.94515
262.3,0.01111094,0.94515
262.3,0.01115977,0.92562
257.47,0.01120859,0.89144
255.05,0.01125742,0.85237
257.47,0.01130625,0.83773
259.88,0.01140391,0.84749
257.47,0.01140391,0.85237
255.05,0.01150156,0.83284
252.63,0.01155039,0.79378
