Force,Displacement,Velocity
-257.56,0.00437266,-1.76481
-259.98,0.00422617,-1.7697
-262.4,0.00412852,-1.77458
-262.4,0.00403086,-1.77458
-262.4,0.0039332,-1.7697
-264.82,0.00378672,-1.7697
-264.82,0.00368906,-1.77458
-267.23,0.00359141,-1.79411
-267.23,0.00349375,-1.81364
-267.23,0.00334727,-1.82829
-269.65,0.00324961,-1.84294
-269.65,0.00315195,-1.84782
-272.07,0.0030543,-1.85759
-272.07,0.00290781,-1.86735
-274.49,0.00281016,-1.87223
-276.91,0.0027125,-1.87223
-276.91,0.00261484,-1.86735
-276.91,0.00251719,-1.8527
-276.91,0.0023707,-1.84294
-279.32,0.00227305,-1.83317
-281.74,0.00212656,-1.83317
-281.74,0.00202891,-1.83317
-281.74,0.00193125,-1.83317
-281.74,0.00178477,-1.83805
-281.74,0.00168711,-1.85759
-284.16,0.00158945,-1.882
-284.16,0.0014918,-1.89665
-281.74,0.00134531,-1.89665
-281.74,0.00124766,-1.89177
-281.74,0.00115,-1.89177
-284.16,0.00105234,-1.89665
-286.58,0.00095469,-1.89177
-286.58,0.0008082,-1.87712
-286.58,0.00071055,-1.8527
-289,0.00061289,-1.84294
-289,0.00046641,-1.84782
-289,0.00036875,-1.85759
-289,0.00022227,-1.86247
-289,0.00012461,-1.86735
-286.58,0.00002695,-1.87712
-286.58,-0.0000707,-1.88688
-286.58,-0.00021719,-1.90153
-289,-0.00031484,-1.91618
-286.58,-0.0004125,-1.91618
-284.16,-0.00055898,-1.9113
-284.16,-0.00065664,-1.90641
-286.58,-0.00080312,-1.90153
-286.58,-0.00090078,-1.89665
-286.58,-0.00099844,-1.882
-286.58,-0.00109609,-1.86247
-286.58,-0.00124258,-1.83805
-286.58,-0.00134023,-1.83317
-286.58,-0.00148672,-1.84294
-286.58,-0.00158437,-1.86247
-284.16,-0.00168203,-1.87223
-284.16,-0.00182852,-1.87223
-281.74,-0.00192617,-1.87223
-281.74,-0.00202383,-1.87712
-279.32,-0.00217031,-1.88688
-279.32,-0.00226797,-1.88688
-279.32,-0.00236562,-1.87712
-279.32,-0.00251211,-1.8527
-279.32,-0.00260977,-1.83805
-279.32,-0.00270742,-1.82829
-279.32,-0.00285391,-1.82829
-279.32,-0.00295156,-1.81852
-276.91,-0.00304922,-1.81364
-272.07,-0.00314687,-1.80876
-272.07,-0.00324453,-1.81364
-272.07,-0.00339102,-1.82829
-269.65,-0.00348867,-1.84294
-267.23,-0.00358633,-1.84294
-267.23,-0.00373281,-1.83317
-267.23,-0.00383047,-1.81852
-264.82,-0.00392812,-1.80876
-264.82,-0.00402578,-1.79899
-264.82,-0.00412344,-1.78923
-262.4,-0.00422109,-1.77946
-259.98,-0.00436758,-1.76481
