Damper Lab
Wed 16 Sep 2015 - 14/31/31
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
-1.45446	3.68906	-3.94255
-1.48105	3.44492	-3.96696
-1.50523	3.20078	-3.98649
-1.52941	2.95664	-4.00602
-1.55118	2.71250	-4.03532
-1.57294	2.46836	-4.05485
-1.58986	2.22422	-4.06950
-1.60679	2.02891	-4.09880
-1.62371	1.73594	-4.11833
-1.63822	1.49180	-4.11345
-1.65273	1.24766	-4.08415
-1.66724	1.05234	-4.06462
-1.67691	0.80820	-4.05485
-1.69142	0.56406	-4.06462
-1.70109	0.27109	-4.07927
-1.70834	0.02695	-4.09391
-1.70834	-0.21719	-4.11833
-1.70834	-0.46133	-4.13298
-1.70834	-0.70547	-4.12809
-1.70834	-0.94961	-4.10368
-1.70834	-1.14492	-4.05973
-1.70109	-1.43789	-4.01579
-1.70109	-1.68203	-3.98649
-1.69625	-1.92617	-3.97673
-1.69384	-2.17031	-3.99137
-1.68658	-2.41445	-4.00602
-1.67449	-2.65859	-4.00602
-1.65998	-2.90273	-4.00114
-1.64548	-3.14687	-3.99137
-1.63339	-3.39102	-3.98161
-1.61404	-3.63516	-3.93278
-1.59712	-3.87930	-3.87419
-1.57777	-4.07461	-3.81559
-1.56085	-4.31875	-3.77653
-1.54150	-4.56289	-3.75700
-1.51974	-4.80703	-3.73747
-1.49556	-5.05117	-3.72282
-1.46655	-5.24648	-3.70817
-1.43753	-5.49062	-3.69352
-1.41093	-5.68594	-3.66423
-1.38192	-5.93008	-3.62028
-1.35048	-6.17422	-3.56169
-1.32147	-6.36953	-3.50309
-1.29003	-6.56484	-3.43962
-1.25860	-6.80898	-3.38591
-1.22717	-7.00430	-3.34196
-1.19090	-7.19961	-3.30290
-1.15221	-7.39492	-3.26872
-1.11594	-7.59023	-3.22966
-1.07725	-7.78555	-3.19059
-1.04098	-7.98086	-3.14665
-0.99988	-8.17617	-3.09782
-0.96119	-8.37148	-3.04411
-0.92250	-8.56680	-2.98063
-0.88382	-8.76211	-2.91227
-0.84271	-8.90859	-2.84880
-0.80160	-9.10391	-2.78532
-0.76050	-9.29922	-2.71696
-0.71939	-9.44570	-2.64372
-0.67829	-9.59219	-2.59001
-0.63718	-9.78750	-2.54118
-0.59608	-9.93398	-2.49235
-0.55255	-10.08047	-2.42887
-0.51145	-10.22695	-2.36540
-0.47034	-10.37344	-2.30680
-0.42924	-10.51992	-2.24333
-0.38813	-10.66641	-2.17497
-0.34703	-10.76406	-2.07731
-0.31318	-10.91055	-1.97477
-0.28416	-11.00820	-1.86247
-0.26240	-11.15469	-1.75016
-0.24064	-11.25234	-1.65251
-0.21887	-11.35000	-1.56950
-0.19953	-11.44766	-1.49626
-0.17777	-11.54531	-1.42302
-0.15843	-11.64297	-1.34489
-0.14150	-11.69180	-1.26188
-0.12457	-11.78945	-1.17399
-0.10765	-11.83828	-1.09098
-0.09072	-11.93594	-1.01774
-0.07863	-11.98477	-0.95427
-0.06896	-12.03359	-0.91032
-0.06171	-12.08242	-0.87614
-0.05203	-12.13125	-0.83220
-0.03511	-12.22891	-0.74430
-0.01093	-12.22891	-0.60759
0.01083	-12.27773	-0.45134
0.02534	-12.27773	-0.32438
0.03743	-12.27773	-0.22184
0.04468	-12.27773	-0.13395
0.05677	-12.27773	-0.05583
0.07370	-12.27773	0.03206
0.09546	-12.27773	0.12484
0.11722	-12.22891	0.22738
0.14866	-12.22891	0.32503
0.18976	-12.18008	0.39339
0.22120	-12.13125	0.43245
0.23329	-12.13125	0.53499
0.23329	-12.08242	0.72054
0.22603	-12.03359	0.92073
0.21878	-11.98477	1.06722
0.21636	-11.93594	1.14534
0.21394	-11.83828	1.18929
0.21152	-11.74063	1.24300
0.21636	-11.69180	1.32113
0.21878	-11.59414	1.40902
0.22361	-11.49648	1.48714
0.22603	-11.39883	1.54573
0.22845	-11.35000	1.59456
0.23329	-11.25234	1.66780
0.23812	-11.10586	1.78011
0.24054	-11.00820	1.90218
0.24296	-10.86172	1.99495
0.24538	-10.76406	2.04378
0.24538	-10.61758	2.06820
0.24779	-10.47109	2.10726
0.25263	-10.32461	2.17562
0.25263	-10.17813	2.25374
0.25747	-10.08047	2.33675
0.26230	-9.93398	2.41976
0.26714	-9.73867	2.50277
0.26956	-9.59219	2.57601
0.26956	-9.44570	2.65902
0.27439	-9.25039	2.73714
0.27681	-9.05508	2.80550
0.27681	-8.90859	2.85433
0.27923	-8.76211	2.89339
0.27923	-8.56680	2.93734
0.28165	-8.37148	3.01058
0.28165	-8.17617	3.08382
0.28406	-7.98086	3.13753
0.28648	-7.83437	3.16683
0.29132	-7.63906	3.20101
0.29373	-7.44375	3.24984
0.29615	-7.19961	3.30355
0.29615	-7.00430	3.33773
0.29373	-6.80898	3.35726
0.29615	-6.61367	3.39632
0.29857	-6.36953	3.46468
0.30099	-6.17422	3.53304
0.30341	-5.97891	3.59652
0.30582	-5.73477	3.65023
0.30582	-5.53945	3.69905
0.30824	-5.29531	3.73323
0.31066	-5.10000	3.75277
0.31066	-4.85586	3.76741
0.31066	-4.61172	3.78206
0.31308	-4.36758	3.79671
0.31550	-4.12344	3.80648
0.31550	-3.92812	3.83089
0.31791	-3.68398	3.87484
0.32033	-3.43984	3.92855
0.32275	-3.14687	3.98714
0.32517	-2.95156	4.03109
0.32517	-2.70742	4.06527
0.32517	-2.46328	4.07015
0.32517	-2.17031	4.06038
0.32517	-1.97500	4.05062
0.32517	-1.73086	4.05550
0.32759	-1.43789	4.07991
0.32759	-1.19375	4.09456
0.33000	-0.94961	4.09456
0.33000	-0.70547	4.09945
0.33242	-0.46133	4.12386
0.33242	-0.21719	4.15804
0.33242	0.07578	4.18734
0.33484	0.31992	4.20687
0.33242	0.56406	4.20198
0.33484	0.80820	4.18734
0.33726	1.05234	4.16780
0.33726	1.29648	4.14827
0.33968	1.54063	4.13363
0.33968	1.78477	4.12386
0.33726	2.07773	4.10433
0.33726	2.32188	4.07991
0.33726	2.51719	4.07015
0.33726	2.76133	4.07503
0.33484	3.05430	4.08968
0.33484	3.29844	4.09945
0.33726	3.54258	4.09456
0.33484	3.78672	4.07015
0.33484	4.03086	4.04573
0.33726	4.27500	4.01155
0.33726	4.51914	3.98226
0.33484	4.71445	3.94320
0.33242	4.95859	3.88948
0.33000	5.20273	3.84066
0.32759	5.49570	3.79183
0.32759	5.69102	3.76741
0.32759	5.93516	3.76741
0.32517	6.17930	3.77230
0.32517	6.37461	3.76741
0.32275	6.61875	3.72835
0.32275	6.81406	3.66488
0.32033	7.05820	3.59652
0.32033	7.30234	3.53304
0.31791	7.44883	3.47933
0.31791	7.69297	3.42073
0.31550	7.88828	3.35726
0.31308	8.08359	3.30355
0.31066	8.27891	3.24495
0.31066	8.52305	3.18636
0.30824	8.66953	3.12777
0.30582	8.86484	3.08870
0.30582	9.06016	3.05941
0.30341	9.25547	3.02523
0.30341	9.40195	2.98128
0.30099	9.54844	2.90804
0.29857	9.74375	2.82503
0.29615	9.89023	2.72738
0.29373	10.03672	2.63460
0.29132	10.18320	2.55159
0.28890	10.37852	2.46859
0.28648	10.52500	2.38070
0.28406	10.67148	2.28304
0.28165	10.81797	2.20491
0.27923	10.91562	2.14144
0.27681	11.06211	2.10726
0.27439	11.20859	2.06331
0.27197	11.30625	2.01448
0.26956	11.40391	1.94613
0.26956	11.50156	1.84847
0.26714	11.64805	1.74105
0.26472	11.74570	1.63363
0.25988	11.79453	1.54573
0.25747	11.94102	1.47249
0.25263	11.98984	1.38460
0.24779	12.08750	1.28695
0.24538	12.18516	1.18441
0.24296	12.23398	1.10628
0.24054	12.28281	1.03304
0.23570	12.33164	0.96468
0.23329	12.38047	0.88655
0.23087	12.47812	0.79866
0.22603	12.47812	0.70101
0.22120	12.52695	0.60823
0.21636	12.57578	0.52034
0.21152	12.57578	0.43245
0.20427	12.62461	0.34456
0.19702	12.62461	0.25179
0.18734	12.62461	0.15902
0.17767	12.62461	0.08089
0.16558	12.62461	0.02230
0.14382	12.62461	-0.02653
0.11239	12.62461	-0.08024
0.07128	12.62461	-0.14372
0.03501	12.57578	-0.22184
0.00358	12.57578	-0.30973
-0.01818	12.52695	-0.40739
-0.02786	12.52695	-0.50016
-0.03753	12.47812	-0.58317
-0.04720	12.42930	-0.67595
-0.05929	12.42930	-0.78337
-0.07621	12.38047	-0.90055
-0.09072	12.28281	-1.00798
-0.10523	12.23398	-1.09587
-0.11732	12.13633	-1.16911
-0.12941	12.08750	-1.24235
-0.14875	11.98984	-1.33024
-0.16810	11.89219	-1.41813
-0.18986	11.79453	-1.50114
-0.20920	11.74570	-1.58903
-0.22613	11.64805	-1.67204
-0.24064	11.50156	-1.75505
-0.25756	11.40391	-1.83317
-0.27691	11.30625	-1.89665
-0.29383	11.20859	-1.96012
-0.31318	11.06211	-2.01872
-0.33494	10.91562	-2.09196
-0.36153	10.81797	-2.16520
-0.38571	10.67148	-2.23845
-0.40506	10.52500	-2.30192
-0.42440	10.42734	-2.35075
-0.44616	10.28086	-2.40934
-0.46793	10.08555	-2.48259
-0.48727	9.93906	-2.56071
-0.50903	9.79258	-2.63884
