Damper Lab
Wed 16 Sep 2015 - 14/28/08
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
-0.24789	5.00742	-1.73552
-0.24789	4.90977	-1.74040
-0.25273	4.76328	-1.75993
-0.25514	4.66563	-1.76481
-0.25514	4.56797	-1.76481
-0.25514	4.47031	-1.75993
-0.25756	4.37266	-1.76481
-0.25998	4.22617	-1.76970
-0.26240	4.12852	-1.77458
-0.26240	4.03086	-1.77458
-0.26240	3.93320	-1.76970
-0.26482	3.78672	-1.76970
-0.26482	3.68906	-1.77458
-0.26723	3.59141	-1.79411
-0.26723	3.49375	-1.81364
-0.26723	3.34727	-1.82829
-0.26965	3.24961	-1.84294
-0.26965	3.15195	-1.84782
-0.27207	3.05430	-1.85759
-0.27207	2.90781	-1.86735
-0.27449	2.81016	-1.87223
-0.27691	2.71250	-1.87223
-0.27691	2.61484	-1.86735
-0.27691	2.51719	-1.85270
-0.27691	2.37070	-1.84294
-0.27932	2.27305	-1.83317
-0.28174	2.12656	-1.83317
-0.28174	2.02891	-1.83317
-0.28174	1.93125	-1.83317
-0.28174	1.78477	-1.83805
-0.28174	1.68711	-1.85759
-0.28416	1.58945	-1.88200
-0.28416	1.49180	-1.89665
-0.28174	1.34531	-1.89665
-0.28174	1.24766	-1.89177
-0.28174	1.15000	-1.89177
-0.28416	1.05234	-1.89665
-0.28658	0.95469	-1.89177
-0.28658	0.80820	-1.87712
-0.28658	0.71055	-1.85270
-0.28900	0.61289	-1.84294
-0.28900	0.46641	-1.84782
-0.28900	0.36875	-1.85759
-0.28900	0.22227	-1.86247
-0.28900	0.12461	-1.86735
-0.28658	0.02695	-1.87712
-0.28658	-0.07070	-1.88688
-0.28658	-0.21719	-1.90153
-0.28900	-0.31484	-1.91618
-0.28658	-0.41250	-1.91618
-0.28416	-0.55898	-1.91130
-0.28416	-0.65664	-1.90641
-0.28658	-0.80312	-1.90153
-0.28658	-0.90078	-1.89665
-0.28658	-0.99844	-1.88200
-0.28658	-1.09609	-1.86247
-0.28658	-1.24258	-1.83805
-0.28658	-1.34023	-1.83317
-0.28658	-1.48672	-1.84294
-0.28658	-1.58437	-1.86247
-0.28416	-1.68203	-1.87223
-0.28416	-1.82852	-1.87223
-0.28174	-1.92617	-1.87223
-0.28174	-2.02383	-1.87712
-0.27932	-2.17031	-1.88688
-0.27932	-2.26797	-1.88688
-0.27932	-2.36562	-1.87712
-0.27932	-2.51211	-1.85270
-0.27932	-2.60977	-1.83805
-0.27932	-2.70742	-1.82829
-0.27932	-2.85391	-1.82829
-0.27932	-2.95156	-1.81852
-0.27691	-3.04922	-1.81364
-0.27207	-3.14687	-1.80876
-0.27207	-3.24453	-1.81364
-0.27207	-3.39102	-1.82829
-0.26965	-3.48867	-1.84294
-0.26723	-3.58633	-1.84294
-0.26723	-3.73281	-1.83317
-0.26723	-3.83047	-1.81852
-0.26482	-3.92812	-1.80876
-0.26482	-4.02578	-1.79899
-0.26482	-4.12344	-1.78923
-0.26240	-4.22109	-1.77946
-0.25998	-4.36758	-1.76481
-0.25756	-4.46523	-1.75505
-0.25998	-4.56289	-1.75505
-0.25756	-4.70937	-1.75505
