Damper Lab
Wed 16 Sep 2015 - 14/30/29
Sample Frequency (S/s): 1000.0
Sample Seconds: 2.00

Scale:	0.49520	10.00000	1.00000
Offset:	-0.41250	-1.36500	0.00700
Force:	Displacement:	Velocity:
0.29373	-4.56289	1.75570
0.29373	-4.41641	1.76058
0.29373	-4.31875	1.76058
0.29373	-4.22109	1.76546
0.29615	-4.12344	1.78011
0.29615	-4.02578	1.79964
0.29615	-3.87930	1.81429
0.29857	-3.78164	1.80452
0.29857	-3.68398	1.78988
0.29857	-3.58633	1.78011
0.29857	-3.43984	1.79476
0.30099	-3.34219	1.81429
0.30099	-3.24453	1.82405
0.30099	-3.14687	1.82405
0.30099	-3.00039	1.81917
0.30099	-2.90273	1.82894
0.30341	-2.80508	1.84359
0.30341	-2.70742	1.84847
0.30341	-2.56094	1.83870
0.30099	-2.46328	1.82405
0.30341	-2.31680	1.81429
0.30582	-2.21914	1.82405
0.30582	-2.12148	1.84847
0.30582	-1.97500	1.86312
0.30341	-1.87734	1.86800
0.30582	-1.77969	1.86312
0.30582	-1.68203	1.87288
0.30824	-1.53555	1.89730
0.30824	-1.43789	1.90706
0.30824	-1.29141	1.89241
0.30582	-1.19375	1.86312
0.30582	-1.09609	1.84359
0.30582	-0.99844	1.83870
0.30824	-0.85195	1.84359
0.30824	-0.75430	1.85335
0.30824	-0.65664	1.86312
0.30824	-0.51016	1.87288
0.30824	-0.36367	1.88753
0.31066	-0.26602	1.91683
0.31308	-0.16836	1.93148
0.31308	-0.07070	1.93148
0.31308	0.07578	1.91195
0.31066	0.17344	1.88265
0.31066	0.27109	1.86312
0.31308	0.41758	1.85823
0.31308	0.51523	1.86312
0.31308	0.66172	1.86800
0.31308	0.75938	1.86312
0.31550	0.85703	1.85823
0.31550	0.95469	1.87288
0.31550	1.10117	1.89241
0.31791	1.19883	1.90706
0.31791	1.29648	1.89730
0.31550	1.39414	1.87777
0.31550	1.49180	1.86800
0.31550	1.63828	1.87288
0.31791	1.73594	1.87777
0.31791	1.83359	1.86800
0.31550	1.98008	1.86312
0.31550	2.07773	1.85335
0.31550	2.17539	1.85335
0.31791	2.32188	1.86312
0.31791	2.41953	1.87288
0.31550	2.51719	1.87777
0.31550	2.66367	1.86312
0.31308	2.76133	1.84847
0.31550	2.90781	1.84359
0.31550	3.00547	1.85335
0.31550	3.10313	1.85823
0.31550	3.20078	1.83870
0.31550	3.29844	1.81429
0.31550	3.39609	1.80452
0.31308	3.54258	1.81429
0.31550	3.64023	1.82894
0.31550	3.78672	1.83382
0.31308	3.83555	1.82405
0.31308	3.98203	1.80941
0.31308	4.12852	1.79476
0.31308	4.22617	1.78499
0.31308	4.27500	1.78011
0.31308	4.42148	1.77523
0.31066	4.51914	1.76058
0.31066	4.61680	1.74593
0.31066	4.76328	1.74593
0.31066	4.86094	1.76058
0.31066	4.95859	1.77523
0.31066	5.05625	1.77523
0.31066	5.20273	1.76546
0.30824	5.25156	1.75570
0.30824	5.39805	1.75081
0.30824	5.49570	1.74593
0.30824	5.59336	1.74105
0.30824	5.69102	1.71663
0.30582	5.78867	1.69222
0.30582	5.88633	1.66780
0.30582	6.03281	1.65316
0.30582	6.13047	1.65316
0.30582	6.22813	1.65804
0.30341	6.32578	1.65804
0.30341	6.42344	1.65316
0.30341	6.52109	1.64339
0.30341	6.61875	1.63851
0.30341	6.71641	1.64339
0.30099	6.81406	1.63363
0.30099	6.91172	1.61898
0.30099	7.00938	1.59456
0.29857	7.10703	1.57503
0.30099	7.20469	1.57015
0.30099	7.30234	1.56527
0.29857	7.40000	1.55062
0.29857	7.49766	1.53597
0.29615	7.59531	1.52132
0.29615	7.69297	1.51644
0.29615	7.79063	1.51155
0.29615	7.83945	1.50179
0.29373	7.93711	1.49202
0.29373	8.03477	1.47738
0.29373	8.13242	1.46761
0.29373	8.23008	1.46761
0.29132	8.27891	1.45784
0.29132	8.37656	1.44320
0.28890	8.47422	1.42366
0.29132	8.57187	1.40902
0.29132	8.66953	1.39925
0.28890	8.71836	1.39925
0.28648	8.81602	1.38460
0.28648	8.91367	1.36995
0.28648	9.01133	1.35042
0.28648	9.06016	1.34066
0.28648	9.15781	1.34554
